hostname,ip,os,ram_gb,department,last_update
desktop-24.owens.com,10.77.182.155,Debian 11,64,IT,2023-08-08
web-05.johnson.com,172.24.183.85,Windows Server 2019,8,Finanzas,2024-01-20
email-19.hamilton.biz,10.80.135.137,Windows Server 2022,8,Marketing,2026-04-06
laptop-33.cruz-mcintyre.net,172.20.136.88,Windows Server 2019,16,Seguridad,2023-10-10
web-23.wilson.com,10.175.163.157,Debian 11,8,Marketing,2024-06-25
desktop-20.cline.com,10.14.179.6,Windows Server 2019,32,Operaciones,2024-08-16
email-45.rivers.com,172.25.18.171,Windows Server 2022,64,Finanzas,2025-07-28
desktop-43.key.com,192.168.73.80,Debian 11,32,Marketing,2025-04-25
laptop-33.bird.com,10.1.189.63,CentOS 7,4,IT,2025-08-09
lt-88.gomez.info,10.145.101.52,Debian 11,4,IT,2025-05-13
web-37.gonzalez-wallace.info,172.18.119.134,Windows Server 2022,32,Operaciones,2023-07-10
lt-18.washington.net,10.80.33.103,Debian 11,8,Finanzas,2026-02-24
srv-45.moreno.org,10.61.209.139,Windows Server 2019,64,Seguridad,2024-04-02
email-23.weaver-graham.com,172.21.135.107,Windows Server 2019,8,Finanzas,2025-07-23
lt-79.coffey.net,192.168.101.198,Ubuntu 22.04,2,RRHH,2024-01-20
srv-46.carey-howard.net,10.241.155.82,Debian 11,32,RRHH,2024-04-22
srv-65.webb-haynes.org,10.179.2.103,Windows Server 2022,2,Marketing,2026-04-07
email-41.thompson-freeman.com,10.100.150.165,Debian 11,8,RRHH,2026-05-22
db-20.kemp.com,192.168.17.225,Ubuntu 22.04,4,Operaciones,2024-06-04
db-82.lopez.com,172.19.102.139,Windows Server 2019,32,Finanzas,2024-10-09
lt-20.jackson-oliver.com,172.29.195.238,Debian 11,32,RRHH,2025-06-21
db-50.shannon.com,172.23.116.83,Ubuntu 22.04,16,IT,2023-06-01
web-32.valenzuela.com,172.29.104.202,Windows Server 2019,2,Finanzas,2026-04-14
web-69.smith-dunlap.info,192.168.98.5,Windows Server 2019,8,IT,2023-12-20
db-71.bender-weaver.com,10.86.64.154,Windows Server 2019,4,RRHH,2025-01-04
email-85.evans.com,172.30.250.124,Debian 11,2,Operaciones,2025-05-19
web-42.ellis.info,192.168.50.138,Windows Server 2019,32,Finanzas,2023-09-20
db-94.hill-hunt.org,172.28.247.236,Windows Server 2022,4,Finanzas,2025-02-06
web-13.jones.info,10.144.42.145,Windows Server 2022,16,Seguridad,2025-11-06
laptop-49.brown.org,192.168.27.167,Windows Server 2022,64,Finanzas,2024-01-24
email-03.rowe-mccarthy.biz,192.168.119.38,CentOS 7,32,Seguridad,2024-12-04
email-48.velasquez.com,172.30.234.19,Ubuntu 22.04,8,Marketing,2026-04-08
desktop-81.cross.biz,172.18.156.76,Debian 11,16,Seguridad,2024-01-18
email-17.allen-espinoza.com,10.150.244.227,Ubuntu 22.04,16,Marketing,2024-06-18
laptop-61.carr.net,10.105.187.255,Ubuntu 22.04,4,Marketing,2024-07-24
lt-48.howard-taylor.net,192.168.99.173,Ubuntu 22.04,32,RRHH,2024-09-16
db-82.liu.com,192.168.35.80,Debian 11,16,RRHH,2023-07-26
db-95.gomez.info,192.168.126.95,Ubuntu 22.04,64,Operaciones,2024-04-29
lt-61.bates-wood.org,192.168.51.25,Windows Server 2022,32,Seguridad,2023-12-10
db-12.galvan-krueger.info,192.168.241.19,CentOS 7,32,Finanzas,2025-04-19
email-12.thomas.com,10.103.121.32,Debian 11,64,Finanzas,2023-08-14
email-23.sanchez.com,192.168.120.110,Ubuntu 22.04,2,Marketing,2026-05-02
db-19.mcknight-woods.com,172.31.200.198,Windows Server 2019,16,IT,2025-01-28
